Features,F1,Recall,Precision,Seed,model,Execution
['Classiques'],0.8150268336314848,0.9267697314890154,0.7273307790549169,4571,bert,1.0
['Spectral'],0.8028828828828829,0.9064279902359642,0.720569210866753,4571,bert,1.0
['Topology'],0.8870500620604055,0.8722538649308381,0.9023569023569024,4571,bert,1.0
"['Classiques', 'Spectral']",0.906396255850234,0.9454841334418226,0.8704119850187266,4571,bert,1.0
"['Classiques', 'Topology']",0.9260763606823721,0.9275834011391375,0.9245742092457421,4571,bert,1.0
"['Spectral', 'Topology']",0.9066886870355079,0.8934092758340114,0.9203688181056161,4571,bert,1.0
"['Classiques', 'Spectral', 'Topology']",0.9366168752523214,0.9438567941415785,0.9294871794871795,4571,bert,1.0
['Classiques'],0.812452543659833,0.9137489325362937,0.7313738892686261,896,bert,2.0
['Spectral'],0.8052147239263804,0.89666951323655,0.7306889352818372,896,bert,2.0
['Topology'],0.875,0.8906917164816396,0.8598516075845012,896,bert,2.0
"['Classiques', 'Spectral']",0.8962993086620578,0.9410760034158838,0.8555900621118012,896,bert,2.0
"['Classiques', 'Topology']",0.9165261382799326,0.928266438941076,0.9050791007493755,896,bert,2.0
"['Spectral', 'Topology']",0.8943572337717437,0.9000853970964987,0.8887015177065767,896,bert,2.0
"['Classiques', 'Spectral', 'Topology']",0.9292333614153327,0.941929974380871,0.9168744804655029,896,bert,2.0
['Classiques'],0.8016622591613147,0.9022108843537415,0.7212780421481985,8375,bert,3.0
['Spectral'],0.7607726597325408,0.8707482993197279,0.6754617414248021,8375,bert,3.0
['Topology'],0.8843010752688172,0.8741496598639455,0.8946910356832027,8375,bert,3.0
"['Classiques', 'Spectral']",0.8981101068200493,0.9294217687074829,0.8688394276629571,8375,bert,3.0
"['Classiques', 'Topology']",0.9250952179432924,0.9294217687074829,0.9208087615838247,8375,bert,3.0
"['Spectral', 'Topology']",0.8922028121005539,0.8903061224489796,0.8941076003415884,8375,bert,3.0
"['Classiques', 'Spectral', 'Topology']",0.9303904923599321,0.9319727891156463,0.9288135593220339,8375,bert,3.0
['Classiques'],0.807840392019601,0.9015625,0.7317691819911224,2771,bert,4.0
['Spectral'],0.7966689798750868,0.896875,0.7166042446941323,2771,bert,4.0
['Topology'],0.8715560729530462,0.87734375,0.8658442559753277,2771,bert,4.0
"['Classiques', 'Spectral']",0.9037149355572404,0.93125,0.8777614138438881,2771,bert,4.0
"['Classiques', 'Topology']",0.905336969224776,0.9078125,0.9028749028749029,2771,bert,4.0
"['Spectral', 'Topology']",0.8862837045720985,0.8859375,0.8866301798279906,2771,bert,4.0
"['Classiques', 'Spectral', 'Topology']",0.9145266385588348,0.93203125,0.8976674191121143,2771,bert,4.0
['Classiques'],0.8136482939632546,0.8981788079470199,0.7436600411240576,4259,bert,5.0
['Spectral'],0.7775377969762419,0.8940397350993378,0.6878980891719745,4259,bert,5.0
