embedding_model,classifier,seed,run,precision,recall,f1,nb_0,nb_1,elapsed_train,elapsed_test
bert-base-uncased,RandomForest,9013,1,0.9850746268656716,0.8088235294117647,0.8882907133243607,24428.0,1224.0,23.986,0.13
bert-base-uncased,CatBoost,9013,1,0.8805970149253731,0.9640522875816994,0.9204368174726989,24428.0,1224.0,9.741,0.021
bert-base-uncased,XGBoost,9013,1,0.919967663702506,0.9297385620915033,0.9248273059731816,24428.0,1224.0,0.669,0.009
bert-base-uncased,DecisionTree,9013,1,0.881590319792567,0.8333333333333334,0.8567828643427131,24428.0,1224.0,3.755,0.004
bert-base-uncased,LogisticRegression,9013,1,0.2542453958383162,0.8684640522875817,0.3933395004625347,24428.0,1224.0,5.644,0.002
bert-base-uncased,KNN,9013,1,0.9369708372530574,0.8137254901960784,0.8710100568430258,24428.0,1224.0,0.013,1.697
bert-base-uncased,MLP,9013,1,0.8650662251655629,0.8537581699346405,0.859375,24428.0,1224.0,48.643,0.019
bert-base-uncased,SVM,9013,1,0.5692454632282713,0.9738562091503268,0.7185051235684147,24428.0,1224.0,557.014,16.02
bert-base-uncased,RandomForest,1755,2,0.9922480620155039,0.800625488663018,0.8861964517524881,25234.0,1279.0,23.619,0.132
bert-base-uncased,CatBoost,1755,2,0.8836545324768023,0.9679437060203284,0.9238805970149254,25234.0,1279.0,9.954,0.022
bert-base-uncased,XGBoost,1755,2,0.9161585365853658,0.9397967161845192,0.9278270937861829,25234.0,1279.0,0.632,0.01
bert-base-uncased,DecisionTree,1755,2,0.8514150943396226,0.8467552775605942,0.849078792630341,25234.0,1279.0,3.801,0.004
bert-base-uncased,LogisticRegression,1755,2,0.25198587819947044,0.8928850664581705,0.39304766821545345,25234.0,1279.0,4.678,0.002
bert-base-uncased,KNN,1755,2,0.9423255813953488,0.7920250195465207,0.8606627017841971,25234.0,1279.0,0.012,1.467
bert-base-uncased,MLP,1755,2,0.8848979591836734,0.8475371383893667,0.865814696485623,25234.0,1279.0,39.982,0.024
bert-base-uncased,SVM,1755,2,0.5575022461814915,0.9702892885066459,0.7081312410841655,25234.0,1279.0,539.159,16.42
bert-base-uncased,RandomForest,9400,3,0.9931707317073171,0.807936507936508,0.8910284463894967,24957.0,1260.0,24.144,0.128
bert-base-uncased,CatBoost,9400,3,0.8764367816091954,0.9682539682539683,0.9200603318250377,24957.0,1260.0,9.493,0.018
bert-base-uncased,XGBoost,9400,3,0.9211356466876972,0.926984126984127,0.9240506329113924,24957.0,1260.0,0.627,0.011
bert-base-uncased,DecisionTree,9400,3,0.8619556285949055,0.8325396825396826,0.846992329430763,24957.0,1260.0,3.331,0.005
bert-base-uncased,LogisticRegression,9400,3,0.2506109753388136,0.8952380952380953,0.391598680784586,24957.0,1260.0,4.98,0.002
bert-base-uncased,KNN,9400,3,0.9383499546690843,0.8214285714285714,0.8760050782903089,24957.0,1260.0,0.011,1.336
bert-base-uncased,MLP,9400,3,0.8995098039215687,0.8738095238095238,0.8864734299516909,24957.0,1260.0,40.966,0.02
bert-base-uncased,SVM,9400,3,0.5662870159453303,0.9865079365079366,0.7195369030390738,24957.0,1260.0,587.454,16.964
bert-base-uncased,RandomForest,2207,4,0.9933712121212122,0.8169781931464174,0.8965811965811966,25368.0,1284.0,23.773,0.124
bert-base-uncased,CatBoost,2207,4,0.8941684665226782,0.9672897196261683,0.9292929292929293,25368.0,1284.0,9.523,0.02
bert-base-uncased,XGBoost,2207,4,0.9347826086956522,0.9376947040498442,0.9362363919129082,25368.0,1284.0,0.615,0.009
bert-base-uncased,DecisionTree,2207,4,0.8647773279352227,0.8317757009345794,0.8479555379118698,25368.0,1284.0,2.803,0.006
bert-base-uncased,LogisticRegression,2207,4,0.25066079295154187,0.8862928348909658,0.3907967032967033,25368.0,1284.0,5.25,0.002
bert-base-uncased,KNN,2207,4,0.9347258485639687,0.8364485981308412,0.8828606658446363,25368.0,1284.0,0.014,1.312
bert-base-uncased,MLP,2207,4,0.8794007490636704,0.9143302180685359,0.8965253913707522,25368.0,1284.0,44.801,0.027
bert-base-uncased,SVM,2207,4,0.5758826226501604,0.9781931464174455,0.7249639249639249,25368.0,1284.0,609.287,16.653
bert-base-uncased,RandomForest,2133,5,0.9892996108949417,0.8045886075949367,0.887434554973822,24541.0,1264.0,23.907,0.124
bert-base-uncased,CatBoost,2133,5,0.8831640058055152,0.9628164556962026,0.9212717638152914,24541.0,1264.0,9.906,0.028
bert-base-uncased,XGBoost,2133,5,0.9225352112676056,0.932753164556962,0.9276160503540519,24541.0,1264.0,0.6,0.009
bert-base-uncased,DecisionTree,2133,5,0.8620408163265306,0.8354430379746836,0.8485335476094817,24541.0,1264.0,3.265,0.004
bert-base-uncased,LogisticRegression,2133,5,0.24199441220717816,0.8908227848101266,0.38059827615345615,24541.0,1264.0,5.144,0.01
bert-base-uncased,KNN,2133,5,0.9324200913242009,0.807753164556962,0.8656210258584146,24541.0,1264.0,0.014,1.289
bert-base-uncased,MLP,2133,5,0.8838342810722989,0.8607594936708861,0.8721442885771543,24541.0,1264.0,41.104,0.014
bert-base-uncased,SVM,2133,5,0.5536519386834986,0.9715189873417721,0.7053417576105686,24541.0,1264.0,555.824,16.208
bert-base-uncased,RandomForest,8957,6,0.9914285714285714,0.7886363636363637,0.8784810126582279,25782.0,1320.0,23.289,0.127
bert-base-uncased,CatBoost,8957,6,0.8837370242214533,0.9674242424242424,0.9236889692585896,25782.0,1320.0,10.005,0.022
bert-base-uncased,XGBoost,8957,6,0.9171641791044776,0.931060606060606,0.9240601503759398,25782.0,1320.0,0.618,0.01
bert-base-uncased,DecisionTree,8957,6,0.8753968253968254,0.8356060606060606,0.8550387596899225,25782.0,1320.0,3.102,0.004
bert-base-uncased,LogisticRegression,8957,6,0.2584392810170978,0.8931818181818182,0.4008840530431826,25782.0,1320.0,4.922,0.002
bert-base-uncased,KNN,8957,6,0.9230088495575222,0.7901515151515152,0.8514285714285714,25782.0,1320.0,0.014,1.322
bert-base-uncased,MLP,8957,6,0.8610294117647059,0.8871212121212121,0.8738805970149254,25782.0,1320.0,49.653,0.031
bert-base-uncased,SVM,8957,6,0.551473729175566,0.978030303030303,0.7052717836656651,25782.0,1320.0,537.843,17.165
bert-base-uncased,RandomForest,1223,7,0.987012987012987,0.8085106382978723,0.8888888888888888,23994.0,1222.0,23.965,0.118
bert-base-uncased,CatBoost,1223,7,0.8988505747126436,0.9599018003273322,0.928373565492679,23994.0,1222.0,9.961,0.021
bert-base-uncased,XGBoost,1223,7,0.9244516653127539,0.9312602291325696,0.9278434569914391,23994.0,1222.0,0.59,0.009
bert-base-uncased,DecisionTree,1223,7,0.860802732707088,0.8248772504091653,0.8424571667363142,23994.0,1222.0,3.497,0.005
bert-base-uncased,LogisticRegression,1223,7,0.24616425992779783,0.8927986906710311,0.3859214715245844,23994.0,1222.0,4.893,0.002
bert-base-uncased,KNN,1223,7,0.9318394024276377,0.8166939443535188,0.8704753597906673,23994.0,1222.0,0.015,1.295
bert-base-uncased,MLP,1223,7,0.8474708171206226,0.8911620294599017,0.8687674511368169,23994.0,1222.0,43.367,0.03
bert-base-uncased,SVM,1223,7,0.5573012939001848,0.9869067103109657,0.7123449497932663,23994.0,1222.0,577.594,16.413
bert-base-uncased,RandomForest,3881,8,0.9889112903225806,0.7988599348534202,0.8837837837837837,24363.0,1228.0,24.276,0.122
bert-base-uncased,CatBoost,3881,8,0.8842105263157894,0.9576547231270358,0.9194683346364347,24363.0,1228.0,10.298,0.019
bert-base-uncased,XGBoost,3881,8,0.9011164274322169,0.9201954397394136,0.9105560032232071,24363.0,1228.0,0.651,0.01
bert-base-uncased,DecisionTree,3881,8,0.8523489932885906,0.8273615635179153,0.8396694214876033,24363.0,1228.0,3.293,0.004
bert-base-uncased,LogisticRegression,3881,8,0.25166628361296256,0.8916938110749185,0.3925434665710701,24363.0,1228.0,5.203,0.002
bert-base-uncased,KNN,3881,8,0.9326923076923077,0.7899022801302932,0.855379188712522,24363.0,1228.0,0.015,1.219
bert-base-uncased,MLP,3881,8,0.8378170637970792,0.8876221498371335,0.8620007908264136,24363.0,1228.0,41.592,0.015
bert-base-uncased,SVM,3881,8,0.5692381408720651,0.9674267100977199,0.7167420814479638,24363.0,1228.0,577.419,16.139
bert-base-uncased,RandomForest,1056,9,0.989935956084172,0.8253241800152555,0.9001663893510815,26131.0,1311.0,23.752,0.129
bert-base-uncased,CatBoost,1056,9,0.8857938718662952,0.9702517162471396,0.9261012013105205,26131.0,1311.0,10.238,0.02
bert-base-uncased,XGBoost,1056,9,0.9289493575207861,0.9374523264683448,0.9331814730447988,26131.0,1311.0,0.582,0.01
bert-base-uncased,DecisionTree,1056,9,0.8866141732283465,0.858886346300534,0.8725300271212708,26131.0,1311.0,3.223,0.004
bert-base-uncased,LogisticRegression,1056,9,0.25646079719667103,0.893211289092296,0.39850263740003405,26131.0,1311.0,5.197,0.002
bert-base-uncased,KNN,1056,9,0.9279588336192109,0.8253241800152555,0.8736374646750101,26131.0,1311.0,0.014,1.402
bert-base-uncased,MLP,1056,9,0.8645209580838323,0.8810068649885584,0.8726860596902153,26131.0,1311.0,32.71,0.015
bert-base-uncased,SVM,1056,9,0.5595652173913044,0.9816933638443935,0.7128219329825534,26131.0,1311.0,529.845,17.095
bert-base-uncased,RandomForest,945,10,0.9931906614785992,0.8109610802223988,0.8928727590730214,24899.0,1259.0,23.798,0.121
bert-base-uncased,CatBoost,945,10,0.9000751314800901,0.9515488482922955,0.9250965250965251,24899.0,1259.0,10.036,0.017
bert-base-uncased,XGBoost,945,10,0.9291964996022275,0.9277204130262113,0.9284578696343402,24899.0,1259.0,0.598,0.009
bert-base-uncased,DecisionTree,945,10,0.8545016077170418,0.8443208895949166,0.84938074310827,24899.0,1259.0,3.088,0.004
bert-base-uncased,LogisticRegression,945,10,0.24871393424289867,0.8832406671961874,0.3881326352530541,24899.0,1259.0,5.133,0.002
bert-base-uncased,KNN,945,10,0.9333950046253469,0.8014297061159651,0.8623931623931624,24899.0,1259.0,0.016,1.332
bert-base-uncased,MLP,945,10,0.9160173160173161,0.840349483717236,0.8765534382767192,24899.0,1259.0,39.905,0.019
bert-base-uncased,SVM,945,10,0.5579044117647058,0.9642573471008737,0.7068413391557496,24899.0,1259.0,547.237,16.414
