Features,F1,Recall,Precision,Seed,model,Execution
['Classiques'],0.9385521885521886,0.9772129710780018,0.902834008097166,3367,bert,1.0
['Spectral'],0.9508057675996607,0.9824715162138475,0.9211175020542317,3367,bert,1.0
['Topology'],0.9916703200350724,0.9912357581069238,0.9921052631578947,3367,bert,1.0
"['Classiques', 'Spectral']",0.9938488576449912,0.9912357581069238,0.9964757709251101,3367,bert,1.0
"['Classiques', 'Topology']",0.9934239368697939,0.992988606485539,0.993859649122807,3367,bert,1.0
"['Spectral', 'Topology']",0.9929947460595446,0.9938650306748467,0.9921259842519685,3367,bert,1.0
"['Classiques', 'Spectral', 'Topology']",0.9942957437472576,0.992988606485539,0.9956063268892794,3367,bert,1.0
['Classiques'],0.9581172716394096,0.9844262295081967,0.9331779331779332,1127,bert,2.0
['Spectral'],0.9489108910891089,0.9819672131147541,0.918007662835249,1127,bert,2.0
['Topology'],0.9917695473251029,0.9877049180327869,0.9958677685950413,1127,bert,2.0
"['Classiques', 'Spectral']",0.9934102141680395,0.9885245901639345,0.9983443708609272,1127,bert,2.0
"['Classiques', 'Topology']",0.9917898193760263,0.9901639344262295,0.993421052631579,1127,bert,2.0
"['Spectral', 'Topology']",0.9929954676555418,0.9877049180327869,0.9983429991714996,1127,bert,2.0
"['Classiques', 'Spectral', 'Topology']",0.993421052631579,0.9901639344262295,0.9966996699669967,1127,bert,2.0
['Classiques'],0.9312267657992565,0.9579349904397706,0.9059674502712477,845,bert,3.0
['Spectral'],0.9338201734367868,0.9780114722753346,0.8934497816593886,845,bert,3.0
['Topology'],0.9874274661508704,0.9760994263862333,0.9990215264187867,845,bert,3.0
"['Classiques', 'Spectral']",0.989443378119002,0.98565965583174,0.9932562620423893,845,bert,3.0
"['Classiques', 'Topology']",0.9923224568138196,0.988527724665392,0.9961464354527938,845,bert,3.0
"['Spectral', 'Topology']",0.9903567984570878,0.9818355640535373,0.9990272373540856,845,bert,3.0
"['Classiques', 'Spectral', 'Topology']",0.9884281581485053,0.9799235181644359,0.9970817120622568,845,bert,3.0
['Classiques'],0.9466292134831461,0.9610266159695817,0.9326568265682657,2847,bert,4.0
['Spectral'],0.9503480278422274,0.973384030418251,0.928377153218495,2847,bert,4.0
['Topology'],0.9884947267497604,0.9800380228136882,0.9970986460348162,2847,bert,4.0
"['Classiques', 'Spectral']",0.9843379212149976,0.9857414448669202,0.9829383886255925,2847,bert,4.0
"['Classiques', 'Topology']",0.9866028708133971,0.9800380228136882,0.9932562620423893,2847,bert,4.0
"['Spectral', 'Topology']",0.9899569583931134,0.9838403041825095,0.9961501443695862,2847,bert,4.0
"['Classiques', 'Spectral', 'Topology']",0.9870627695256349,0.9790874524714829,0.9951690821256038,2847,bert,4.0
['Classiques'],0.9426229508196722,0.9655751469353484,0.9207365892714171,6224,bert,5.0
['Spectral'],0.9354317998385795,0.9731318219983207,0.9005439005439005,6224,bert,5.0
['Topology'],0.9898562975486053,0.9832073887489504,0.9965957446808511,6224,bert,5.0
